ProdutoID;Produtos;Subcategoria;Categoria;VendalD;Data;ProdutoID;Quantidade;Receita;Custo;Lucro;Regiao;Vendedor;Tipo Perda;Valor Perda;Status da Venda
28;Headset Gamer Logitech;Acessórios;Informática;26;20/03/2022;28;9;R$ 3.915,00;R$ 2.857,95;R$ 1.057,05;Sudeste;João;Cancelamento;R$ 425,00;Com Perda
60;Jaqueta Jeans;Roupas;Roupas;81;01/07/2022;60;9;R$ 3.978,00;R$ 2.347,02;R$ 1.630,98;Centro-Oeste;André;Cancelamento;R$ 285,00;Com Perda
33;Geladeira Samsung;Eletrodomésticos;Casa;83;07/04/2024;33;3;R$ 9.828,00;R$ 5.995,08;R$ 3.832,92;Sul;Bruno;Desconto;R$ 121,00;Com Perda
50;Cama Box Solteiro;Móveis;Casa;60;03/01/2018;50;2;R$ 8.332,00;R$ 6.082,36;R$ 2.249,64;Centro-Oeste;Carla;Cancelamento;R$ 382,00;Com Perda
95;Switch de Rede;Informática;Informática;35;24/01/2025;95;3;R$ 4.947,00;R$ 3.858,66;R$ 1.088,34;Centro-Oeste;Carla;Cancelamento;R$ 89,00;Com Perda
46;Cadeira Gamer;Móveis;Casa;77;15/05/2024;46;1;R$ 4.473,00;R$ 2.773,26;R$ 1.699,74;Sudeste;Ana;Sem perda;R$ 0,00;Com Perda
11;Smart TV LG 43;TVs;Eletrônicos;66;10/03/2018;11;9;R$ 33.426,00;R$ 20.055,60;R$ 13.370,40;Nordeste;Carlos;Devolução;R$ 114,00;Com Perda
52;Tênis Adidas;Calçados;Calçados;6;11/05/2017;52;6;R$ 18.714,00;R$ 14.409,78;R$ 4.304,22;Centro-Oeste;André;Cancelamento;R$ 420,00;Com Perda
60;Jaqueta Jeans;Roupas;Roupas;46;08/01/2025;60;1;R$ 2.967,00;R$ 1.513,17;R$ 1.453,83;Norte;Juliana;Cancelamento;R$ 203,00;Com Perda
20;Notebook Lenovo ThinkPad;Notebooks;Informática;14;22/12/2019;20;4;R$ 4.616,00;R$ 3.462,00;R$ 1.154,00;Sudeste;Pedro;Devolução;R$ 458,00;Com Perda
39;Fogão 5 bocas;Eletrodomésticos;Casa;84;23/02/2020;39;7;R$ 4.088,00;R$ 2.657,20;R$ 1.430,80;Nordeste;Rafael;Cancelamento;R$ 435,00;Com Perda
37;Air Fryer Philips;Eletrodomésticos;Casa;66;18/05/2025;37;10;R$ 2.370,00;R$ 1.350,90;R$ 1.019,10;Sul;Maria;Desconto;R$ 446,00;Com Perda
97;SSD 500GB;Informática;Informática;42;19/07/2018;97;8;R$ 12.384,00;R$ 8.173,44;R$ 4.210,56;Sudeste;Ana;Devolução;R$ 143,00;Com Perda
92;Monitor LG 24;Informática;Informática;34;13/06/2022;92;1;R$ 3.216,00;R$ 2.508,48;R$ 707,52;Nordeste;Carlos;Cancelamento;R$ 127,00;Com Perda
18;Notebook Dell XPS;Notebooks;Informática;86;14/08/2022;18;6;R$ 24.066,00;R$ 13.717,62;R$ 10.348,38;Nordeste;Fernanda;Devolução;R$ 132,00;Com Perda
